City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,andros,37.8333,24.9333,27.07,70,0,6.81,GR,2023-08-16 06:00:00
229,mount gambier,-37.8333,140.7667,14.86,56,3,3.88,AU,2023-08-16 06:00:00
230,asau,46.4333,26.4,20.26,75,100,1.57,RO,2023-08-16 06:00:00
231,beian,63.6559,9.5683,14.05,100,75,3.82,NO,2023-08-16 06:00:00
232,acapulco,16.8634,-99.8901,26.53,89,100,3.98,MX,2023-08-16 06:00:00
233,kroonstad,-27.6504,27.2349,10.21,75,46,4.86,ZA,2023-08-16 06:00:00
234,sioux lookout,50.1001,-91.917,15.04,100,100,1.16,CA,2023-08-16 06:00:00
235,verkhniy landekh,56.8389,42.5994,21.2,71,3,4.32,RU,2023-08-16 06:00:00
236,ternate,0.8,127.4,27.9,75,100,5.65,ID,2023-08-16 06:00:00
237,salalah,17.0151,54.0924,26.05,100,100,5.1,OM,2023-08-16 06:00:00
238,bogorodskoye,56.55,37.8833,19.69,65,0,2.8,RU,2023-08-16 06:00:00
239,lasa,46.6166,10.7002,20.52,75,94,1.13,IT,2023-08-16 06:00:00
240,isla mujeres,21.2311,-86.731,28.71,83,67,3.82,MX,2023-08-16 06:00:00
241,gasa,31.5,34.4667,27.78,64,78,2.67,PS,2023-08-16 06:00:00
242,zhigalovo,54.8097,105.1578,13.5,98,100,1.63,RU,2023-08-16 06:00:00
243,strzegom,50.9626,16.3501,22.36,66,95,1.46,PL,2023-08-16 06:00:00
244,vardo,70.3705,31.1107,12.99,82,100,4.06,NO,2023-08-16 06:00:00
245,chara,56.9064,118.2631,23.97,42,13,0.65,RU,2023-08-16 06:00:00
246,saldanha,-33.0117,17.9442,12.6,89,100,6.9,ZA,2023-08-16 06:00:00
247,new norfolk,-42.7826,147.0587,14.86,57,95,2.64,AU,2023-08-16 06:00:00
248,fort myers beach,26.452,-81.9481,29.68,83,0,2.76,US,2023-08-16 06:00:00
249,raniganj,23.6167,87.1333,36.12,62,40,3.4,IN,2023-08-16 06:00:00
250,volokonovka,50.4827,37.8563,24.43,57,0,3.79,RU,2023-08-16 06:00:00
251,hambantota,6.1241,81.1185,33.19,58,20,8.92,LK,2023-08-16 06:00:00
252,batouri,4.4333,14.3667,20.45,97,74,0.47,CM,2023-08-16 06:00:00
253,vagur,61.4732,-6.8119,11.02,81,99,2.89,FO,2023-08-16 06:00:00
254,yarada,17.65,83.2667,32.0,61,100,3.77,IN,2023-08-16 06:00:00
255,sinnamary,5.3833,-52.95,24.55,92,78,3.74,GF,2023-08-16 06:00:00
256,suntar,62.1444,117.6319,21.46,64,97,2.22,RU,2023-08-16 06:00:00
257,aleksandriya,45.0947,43.2456,29.49,35,9,4.01,RU,2023-08-16 06:00:00
258,rongcheng,30.634,117.8517,34.16,53,12,1.46,CN,2023-08-16 06:00:00
259,norman wells,65.282,-126.8329,15.02,72,75,1.02,CA,2023-08-16 06:00:00
260,mount isa,-20.7333,139.5,31.87,18,87,1.48,AU,2023-08-16 06:00:00
261,clyde river,70.4692,-68.5914,11.13,100,0,2.43,CA,2023-08-16 06:00:00
262,vanavara,60.34,102.2797,19.96,43,89,2.72,RU,2023-08-16 06:00:00
263,cantagalo,-21.9811,-42.3681,17.91,94,100,1.0,BR,2023-08-16 06:00:00
264,bocaiuva,-17.1078,-43.815,16.34,79,99,2.19,BR,2023-08-16 06:00:00
265,bayir,37.2687,28.2167,28.49,57,0,2.27,TR,2023-08-16 06:00:00
266,ulaangom,49.9811,92.0667,19.8,32,86,3.5,MN,2023-08-16 06:00:00
267,itaituba,-4.2761,-55.9836,21.77,53,16,0.54,BR,2023-08-16 06:00:00
268,urubicha,-15.3833,-62.95,19.76,65,0,0.04,BO,2023-08-16 06:00:00
269,phan thiet,10.9333,108.1,32.5,59,51,7.43,VN,2023-08-16 06:00:00
270,banda aceh,5.5577,95.3222,30.81,62,98,6.22,ID,2023-08-16 06:00:00
271,vila,42.0304,-8.1588,11.5,97,4,1.67,PT,2023-08-16 06:00:00
272,cairns,-16.9167,145.7667,26.96,47,90,2.75,AU,2023-08-16 06:00:00
273,yabrud,33.9674,36.6574,30.89,18,0,0.42,SY,2023-08-16 06:00:00
274,leshukonskoye,64.8989,45.7622,21.35,66,99,1.82,RU,2023-08-16 06:00:00
275,meulaboh,4.1363,96.1285,29.08,68,95,2.28,ID,2023-08-16 06:00:00
276,moose factory,51.2585,-80.6094,15.99,94,100,3.82,CA,2023-08-16 06:00:00
277,talara,-4.5772,-81.2719,21.63,87,92,5.34,PE,2023-08-16 06:00:00
278,broome,42.2506,-75.833,18.89,97,32,2.4,US,2023-08-16 06:00:00
279,luderitz,-26.6481,15.1594,12.12,83,2,0.06,NA,2023-08-16 06:00:00
280,menongue,-14.6585,17.691,14.31,22,7,1.61,AO,2023-08-16 06:00:00
281,sao miguel do araguaia,-13.275,-50.1628,22.33,38,81,2.99,BR,2023-08-16 06:00:00
282,adilabad,19.6667,78.5333,27.72,68,46,4.96,IN,2023-08-16 06:00:00
283,weyburn,49.6668,-103.8511,22.22,60,74,4.01,CA,2023-08-16 06:00:00
284,suamico,44.6319,-88.0393,17.37,77,0,3.54,US,2023-08-16 06:00:00
285,san joaquin,37.9333,-121.3011,27.92,50,0,2.67,US,2023-08-16 06:00:00
286,geraldton,-28.7667,114.6,17.23,77,75,9.51,AU,2023-08-16 06:00:00
287,shache,38.4167,77.2406,27.62,27,74,3.53,CN,2023-08-16 06:00:00
288,boa vista,2.8197,-60.6733,26.99,78,40,1.77,BR,2023-08-16 06:00:00
289,beringovskiy,63.05,179.3167,11.99,84,77,4.82,RU,2023-08-16 06:00:00
290,nola,40.922,14.5329,24.96,84,0,0.38,IT,2023-08-16 06:00:00
291,poitiers,46.5833,0.3333,17.57,59,0,1.89,FR,2023-08-16 06:00:00
292,cilegon,-6.0174,106.0538,28.97,63,85,3.45,ID,2023-08-16 06:00:00
293,muncar,-8.4333,114.3333,27.46,67,59,4.67,ID,2023-08-16 06:00:00
294,harlingen,26.1906,-97.6961,27.79,88,0,2.7,US,2023-08-16 06:00:00
295,golspie,57.9727,-3.978,13.25,97,75,1.17,GB,2023-08-16 06:00:00
296,kruisfontein,-34.0033,24.7314,12.16,78,98,2.61,ZA,2023-08-16 06:00:00
297,pisco,-13.7,-76.2167,19.03,72,100,1.29,PE,2023-08-16 06:00:00
298,hailin,44.5833,129.4167,26.04,79,81,4.37,CN,2023-08-16 06:00:00
299,dingle,10.9995,122.6711,29.86,75,54,3.38,PH,2023-08-16 06:00:00
300,puerto escondido,15.85,-97.0667,26.91,80,98,5.23,MX,2023-08-16 06:00:00
301,nelson bay,-32.7167,152.15,17.52,72,38,5.63,AU,2023-08-16 06:00:00
